job_title,predicted_subcategory,predicted_role
Drafter Depok,Electronic & Semiconductor,Electronics Engineer
Tender Document Staff,Other Computer & Information Technology,Information Technology Staff
Graphic Designer Intern,Other Computer & Information Technology,Information Technology Staff
Professional Design Apple Developer Academy Binus,Software,Software Engineer
Desk Collection Supervisor Yogyakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Designer Interior,"Operation, Maintenance & Technical Support",IT Technical Support
It Database Security Administrator Department Head,"Network, System & Database Admin",Database Administrator
Sharepoint Developer,Software,Developer
It Vendor Management Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Corporate Communication Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Research And Development Staff,Other Computer & Information Technology,Information Technology Staff
Branch Manager Dealer Hino,"Operation, Maintenance & Technical Support",IT Technical Support
Oracle Ebs Developer,Software,Oracle Developer
Sap Abap Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Kindergarten Teacher,"Operation, Maintenance & Technical Support",IT Technical Support
Sap Abap Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Graphic Design Staff,Other Computer & Information Technology,Information Technology Staff
Trade Marketing Manager General Local Modern Trade Fmcg,Other Computer & Information Technology,Information Technology Staff
Trade Marketing Manager General Local Modern Trade Fmcg,Other Computer & Information Technology,Information Technology Staff
Electrical Instrument Automation Superintendent Pulp Industry,Electronic & Semiconductor,Electronics Engineer
Warehouse Leader,Other Computer & Information Technology,Information Technology Staff
Community Campaign Deputy Manager,"Operation, Maintenance & Technical Support",IT Technical Support
It Infrastructure Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Technology Development Manager,Software,Developer
Staff Penjualan Staff Penagihan Jabodetabek,Other Computer & Information Technology,Information Technology Staff
Staff Penjualan Staff Penagihan Jabodetabek,Other Computer & Information Technology,Information Technology Staff
Senior Product Development,Software,Software Engineer
Back End Developer,Frontend Development,Frontend Engineer
Marketing Development Supervisor Jakarta Selatan,Other Computer & Information Technology,Other Technical Positions
Soc Analyst L,"Network, System & Database Admin",System Analyst
Mobile Developer Android Ios Optional,Mobile Development,Mobile Developer
Digital Product Research And Development Section Head,Software,Software Engineer
Design Graphics,Software,Software Engineer
Dealer Consultant Manager Tangerang,"Operation, Maintenance & Technical Support",IT Technical Support
Graphic Designer,"Operation, Maintenance & Technical Support",IT Technical Support
Marketing Manager Urgently Needed,"Operation, Maintenance & Technical Support",IT Technical Support
Full Stack Developer Spv Level,Full Stack Development,Full Stack Developer
Mobile App Developer React Native,Mobile Development,React Native Developer
Id Designer Consumer Electronics Computer,"Operation, Maintenance & Technical Support",IT Technical Support
Bussiness Development Area,Software,Software Engineer
Staff Gudang Denpasar,Other Computer & Information Technology,Information Technology Staff
Centralized Processing Team Leader,Other Computer & Information Technology,Information Technology Staff
Admin Training Development,"Network, System & Database Admin",System Administrator
Design Engineer,Software,Software Engineer
It Operation Infrastructure Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Technical Superintendent,"Operation, Maintenance & Technical Support",IT Technical Support
Golang Developer,Backend Development,Golang Developer
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Full Stack Developer,Full Stack Development,Full Stack Developer
Net Developer,Backend Development,.Net Developer
Team Leader Warehouse,Other Computer & Information Technology,Information Technology Staff
Product Development Staff,"Operation, Maintenance & Technical Support",IT Technical Support
Crew Leader,Other Computer & Information Technology,Information Technology Staff
Product Development Staff,"Operation, Maintenance & Technical Support",IT Technical Support
It Helpdesk Staff Surabaya,Other Computer & Information Technology,Information Technology Staff
Admin Desk Support,"Operation, Maintenance & Technical Support",IT Technical Support
Internship Fresh Graduate Development Program Fgdp,"Operation, Maintenance & Technical Support",IT Technical Support
Frontend Developer,Frontend Development,Frontend Engineer
Admin Outlet Demak,Other Computer & Information Technology,Information Technology Staff
Android Os Developer,Mobile Development,Android Developer
Graphic Designer,"Operation, Maintenance & Technical Support",IT Technical Support
Csr Site Stakeholder Engagement,"Network, System & Database Admin",Network Engineer
Backend Developer,Backend Development,Backend Developer
Desain Grafis,"Operation, Maintenance & Technical Support",IT Technical Support
Videografer Editor,"Operation, Maintenance & Technical Support",IT Technical Support
Demand Supply Supervisor Jakarta Selatan,Other Computer & Information Technology,Other Technical Positions
Developer,Software,Developer
Field Collection Jabodetabek,"Operation, Maintenance & Technical Support",IT Technical Support
Marketing Development Staff,Other Computer & Information Technology,Information Technology Staff
Desk Collection Recovery,"Operation, Maintenance & Technical Support",IT Technical Support
Dealer Relationship Coordinator Sulawesi Selatan,"Operation, Maintenance & Technical Support",IT Technical Support
Product Planning Development,"Operation, Maintenance & Technical Support",IT Technical Support
Bisnis Development Marketing,Software,Developer
Frontend Developer Intern,Frontend Development,Frontend Engineer
Helpdesk Network Yogyakarta,"Network, System & Database Admin",Network Engineer
Graphic Design,Software,Software Engineer
Trade Marketing Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Research Development R D Staff,Other Computer & Information Technology,Information Technology Staff
Cabin Leader Patra Parapat,Other Computer & Information Technology,Information Technology Staff
Research And Development R D Alat Kesehatan,Software,Developer
Kepala Biro Administrasi Akademik Dan Kemahasiswaan,"Operation, Maintenance & Technical Support",IT Technical Support
Fontdesk,"Operation, Maintenance & Technical Support",IT Technical Support
Embedded System Engineer,Software,Software Engineer
Back End Developer Id,Frontend Development,Frontend Engineer
Staff Research And Development,Other Computer & Information Technology,Information Technology Staff
Design Development,Software,Software Engineer
Net Developer,Backend Development,.Net Developer
Interior Design,Software,Software Engineer
Key Account Manager Modern Trade Channel,Other Computer & Information Technology,Information Technology Staff
It Security Analyst L,Cyber Security,Security Analyst
Financial Auditor Operations Development,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Admin Desk Support,"Operation, Maintenance & Technical Support",IT Technical Support
Kepala Bagian Administrasi Akademik,"Operation, Maintenance & Technical Support",IT Technical Support
Supervisor Mold Design Engineer,Other Computer & Information Technology,Other Technical Positions
Laboratory Analyst Manado Sulawesi Utara,"Network, System & Database Admin",System Analyst
Jv Corporate Secretary Dept Head Jakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Admin Depo,Other Computer & Information Technology,Information Technology Staff
Net Developer System Engineer,Backend Development,.Net Developer
Application Development Staff Ads,Software,Developer
Asset Management Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Parts Development Lead,Software,Software Engineer
Area Part Development,Software,Software Engineer
Graphic Designer And Marketing Communication,"Operation, Maintenance & Technical Support",IT Technical Support
Operations Shift Leader Boiler Plant Pasuruan Klaten Bogor Tangerang Karawang,Other Computer & Information Technology,Information Technology Staff
Trade Marketing Direct Promotion Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Product Brand Development Manager Fmcg Company,Software,Developer
Csr Site Community Development,"Network, System & Database Admin",Network Engineer
Golang Developer Project Based,Backend Development,Golang Developer
Technology Development Division Head Royalboard,"Operation, Maintenance & Technical Support",IT Technical Support
Dosen Tetap Teknik Informatika Location Deltamas Cikarang,Other Computer & Information Technology,Information Technology Staff
Head Of Department Store And Modern Trade,"Operation, Maintenance & Technical Support",IT Technical Support
Server Project Leader,"Operation, Maintenance & Technical Support",IT Technical Support
Financial Planning Analyst Assistant Manager,"Operation, Maintenance & Technical Support",IT Technical Support
It Infrastructure Security Dept Officer,Other Computer & Information Technology,Information Technology Staff
Net Developers,Backend Development,.Net Developer
Devops Engineer Infrastructure,"Operation, Maintenance & Technical Support",Devops Engineer
Preschool Kindergarten Teacher,"Operation, Maintenance & Technical Support",IT Technical Support
Trade Marketing Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Consultant For It Operating Model,"Operation, Maintenance & Technical Support",IT Technical Support
Full Stack Developer,Full Stack Development,Full Stack Developer
Back End Developer,Frontend Development,Frontend Engineer
Interior Designer Furniture Designer Rnd,"Operation, Maintenance & Technical Support",IT Technical Support
It Developer,Software,Developer
Order Management Associate,"Operation, Maintenance & Technical Support",IT Technical Support
Development Supervisor,Other Computer & Information Technology,Other Technical Positions
Adobe Experience Manager Developer,"Operation, Maintenance & Technical Support",IT Technical Support
It Application Developer,Software,Developer
Process Development Technologist Beverages,Software,Developer
Back End Developer,Frontend Development,Frontend Engineer
Bancassurance Relationship Officer Bank Bpd Bali Area Renon Denpasar Badung,Other Computer & Information Technology,Information Technology Staff
It Developer,Software,Developer
Mobile Developer React Native,Mobile Development,React Native Developer
C Developer,Software,Developer
General Affairs Ga Dept Head,"Operation, Maintenance & Technical Support",IT Technical Support
Prepress Offset Graphic Design,Software,Software Engineer
Project Leader Retikulasi,"Operation, Maintenance & Technical Support",IT Technical Support
It Security Governance Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Trade Marketing Manager,"Operation, Maintenance & Technical Support",IT Technical Support
It Developer,Software,Developer
Learning Content Developer Intern,Software,Developer
Front End Angular Developer,Frontend Development,Frontend Engineer
Strategic Planning Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Corporate Commercial Credit Risk Reviewer Department Head,"Operation, Maintenance & Technical Support",IT Technical Support
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Account Manager Cosmetics Decorative Personal Skin Care Home Household Care,Other Computer & Information Technology,Information Technology Staff
Tender Architect,Other Computer & Information Technology,Solution Architect
Tender Specialist Purchasing Specialist,"Operation, Maintenance & Technical Support",IT Technical Support
Development Operations Devops Engineer Project Based,Software,Software Engineer
Uipath Developer Fully Remote,Full Stack Development,Full Stack Developer
High School Design Technology Teacher,Other Computer & Information Technology,Information Technology Staff
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Staff Full Stack Developer,Full Stack Development,Full Stack Developer
Data Analyst,Data,Data Analyst
Cost Control Data Analyst,Data,Data Analyst
Junior Data Engineer,Data,Data Engineer
Data Scientist For Data Modeling Fraud,Data,Data Scientist
Staff Operation And Data,Data,Data Analyst
Data Scientist,Data,Data Scientist
Transport Commercial Strategy And Growth Analyst,Software,Software Engineer
Cognos Tm Analyst,"Network, System & Database Admin",System Analyst
Area Territory Analyst Palangkaraya,"Network, System & Database Admin",System Analyst
System Development Staff,Other Computer & Information Technology,Information Technology Staff
System Development Staff,Other Computer & Information Technology,Information Technology Staff
Area Territory Analyst Palangkaraya,"Network, System & Database Admin",System Analyst
Senior Data Center Engineering Operations Dc Communities,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Data Analyst,Data,Data Analyst
Credit Analyst,"Network, System & Database Admin",System Analyst
Data Analyst Platform Analytics,Data,Data Analyst
Data Analyst Lecturer,Data,Data Analyst
Database Administrator Lead,"Network, System & Database Admin",Database Administrator
Data Analyst,Data,Data Analyst
Payment Analyst,"Network, System & Database Admin",System Analyst
Junior Data Operations Executive,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Trade Compliance Operations Senior Analyst,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Sql Database Administrator,"Network, System & Database Admin",Database Administrator
Data Scientist,Data,Data Scientist
Data Analyst Ecommerce Optima Technology Indonesia,Data,Data Analyst
Database Administrator,"Network, System & Database Admin",Database Administrator
Data Engineer D,Data,Data Engineer
Portfolio Management Analyst,"Network, System & Database Admin",System Analyst
Risk Analyst Manager Indonesia Fintopia Technology Easycash,Other Computer & Information Technology,Information Technology Staff
Data Engineer,Data,Data Engineer
Data Engineer,Data,Data Engineer
Data Engineer,Data,Data Engineer
Service Development Analyst,"Network, System & Database Admin",System Analyst
Research Analyst Ra,"Network, System & Database Admin",System Analyst
Financial Planning Analyst Jakarta Surabaya,"Network, System & Database Admin",System Analyst
Senior Data Analyst,Data,Data Analyst
Data Analyst Strategi,Data,Data Analyst
Technical Consultant Analyst,"Network, System & Database Admin",System Analyst
Senior Data Analyst,Data,Data Analyst
Food Affordable Strategy Data Analyst,Data,Data Analyst
Data Analyst Etl,Data,Data Analyst
Manufacturing Engineering Data Analytics Intern,Data,Data Engineer
Qc Analyst,"Network, System & Database Admin",System Analyst
Consumer And Market Insights Senior Analyst,"Network, System & Database Admin",System Analyst
System Development Marugame Udon Indonesia Sriboga Marugame Indonesia,Software,Developer
Analyst Staff,"Network, System & Database Admin",System Analyst
Data Scientist,Data,Data Scientist
Data Engineer,Data,Data Engineer
Product Operations Analyst,"Operation, Maintenance & Technical Support",IT Technical Support
Data Scientist Lecturer Full Time,Data,Data Scientist
Data Scientist Remote,Data,Data Scientist
Junior Data Engineer,Data,Data Engineer
Jr Owned Channel Analyst,"Network, System & Database Admin",System Analyst
Anti Fraud Analyst Akulaku Indonesia,"Network, System & Database Admin",System Analyst
Credit Analyst Motor Surabaya,"Network, System & Database Admin",System Analyst
Sr Data Scientist,Data,Data Scientist
Data Engineer Banking Experience,Data,Data Engineer
Product Analyst,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
Credit Analyst Motor Semarang,"Network, System & Database Admin",System Analyst
Data Engineer Banking,Data,Data Engineer
Data Scientist Analytics,Data,Data Scientist
Database Administrator,"Network, System & Database Admin",Database Administrator
Performance Marketing Analyst,"Network, System & Database Admin",System Analyst
Database Administrator,"Network, System & Database Admin",Database Administrator
Junior Data Analyst,Data,Data Analyst
Strategic Planner Analyst,"Operation, Maintenance & Technical Support",IT Technical Support
Data Analyst Leader,Data,Data Analyst
Application Analyst Engineering And Transversal,Software,Software Engineer
Ai Data Scientist,Data,Data Scientist
Data Centre Technical Architect,Other Computer & Information Technology,Solution Architect
Sql Database Developer,"Network, System & Database Admin",Database Administrator
Data Analyst,Data,Data Analyst
Performance Cost Analyst Manager,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
Data Scientist Indonesia,Data,Data Scientist
Metocean Data Analyst,Data,Data Analyst
Pricing Analyst Vendor Management,"Network, System & Database Admin",System Analyst
Data Analytic Reporting Officer,Other Computer & Information Technology,Information Technology Staff
Account Management Data Center Lead,Data,Data Engineer
Data Scientist Analytics Ads,Data,Data Scientist
Data Analyst,Data,Data Analyst
Senior Researcher Bioinformatics Data Science,Software,Software Engineer
Data Strategic Collection Analyst,Data,Data Analyst
Data Analyst,Data,Data Analyst
Data Engineer,Data,Data Engineer
Data Analyst Officer For Radu Food,Data,Data Analyst
Data Analytics Officer,Data,Data Analyst
Data Analyst Jakarta,Data,Data Analyst
Data Scanner Officer,Data,Data Analyst
Manager Nps Program Effectiveness Data Analytics,Data,Data Engineer
Data Analytics Consultant Senior Manager Senior Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Data Analyst Etl Must Ex Banking,Data,Data Analyst
Data Strategic Collection Analyst,Data,Data Analyst
Data Analyst D,Data,Data Analyst
Manager Assurance Risk Assurance Data Analytics,QA & Software Testing,Quality Assurance
Data Scientist,Data,Data Scientist
Cvm Data Science,Software,Software Engineer
Field Agent Ics And Farm Data Verification,Data,Data Analyst
Data Engineer,Data,Data Engineer
Data Scientist,Data,Data Scientist
Senior Data Analyst For Getplus,Data,Data Analyst
Data Scientist Fraud Risk,Data,Data Scientist
Head Of Data Engineer,Data,Data Engineer
Area Retail Analyst Tuban,"Operation, Maintenance & Technical Support",IT Technical Support
Search Model Data Product Operations Trust Safety Indonesia,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Sr Data Engineer,Data,Data Engineer
Data Warehouse Engineer,Data,Data Engineer
Operations Strategist Analyst,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Research Assistant Bioinformatics Data Science,"Operation, Maintenance & Technical Support",IT Technical Support
Sap Basis Data Center Sr Engineer,Data,Data Engineer
Senior Data Scientist Marketplace,Data,Data Scientist
Information Risk Data Privacy Management,Data,Data Engineer
Data Engineer Technology Consultant,Data,Data Engineer
Data Engineer Big Data Cloudera,Data,Data Engineer
Data Scientist Senior Data Scientist,Data,Data Scientist
Crm Analyst,"Network, System & Database Admin",System Analyst
Data Architect,Other Computer & Information Technology,Solution Architect
Data Center Engineer,Data,Data Engineer
Data Analyst Senior,Data,Data Analyst
It Program Analyst Akulaku Indonesia,"Network, System & Database Admin",System Analyst
Transport Commercial Market Intelligence Analyst,"Network, System & Database Admin",System Analyst
Pricing Operations Analyst,"Network, System & Database Admin",System Analyst
Area Retail Analyst Tuban,"Operation, Maintenance & Technical Support",IT Technical Support
Revenue Growth Analyst,Software,Software Engineer
Associate Manager Data Science,"Operation, Maintenance & Technical Support",IT Technical Support
Devops Engineer Akar Inti Data,"Operation, Maintenance & Technical Support",Devops Engineer
Senior Data Engineer,Data,Data Engineer
Construction Manager Data Centres,Data,Data Analyst
Budget Analyst,"Network, System & Database Admin",System Analyst
Investment Analyst,"Network, System & Database Admin",System Analyst
Operation Analyst Project Based,"Network, System & Database Admin",System Analyst
Mechanical Supervisor Hvac Data Centres,Data,Data Engineer
Lead Mechanical Hvac Engineer Mcf Data Centres,Data,Data Engineer
Senior Data Engineer Mandiri International Technology,Data,Data Engineer
Hse Manager Data Centres,Data,Data Analyst
It Data Engineer Toyota Astra Financial Services,Data,Data Engineer
Marketing Analyst,"Network, System & Database Admin",System Analyst
Senior Data Warehouse Engineer,Data,Data Engineer
Funding Operations Analyst,"Network, System & Database Admin",System Analyst
Segment Manager Data Center,Data,Data Analyst
Technical Product Analyst Fresh Graduates May Apply,"Operation, Maintenance & Technical Support",IT Technical Support
Trade Compliance Operations Analyst,"Network, System & Database Admin",System Analyst
Performance Marketing Analyst,"Network, System & Database Admin",System Analyst
Associate Area Analyst Kudus Raya,"Network, System & Database Admin",System Analyst
Strategic Planning Analyst,"Operation, Maintenance & Technical Support",IT Technical Support
Sap Identity Management Idm Consultant,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Risk Analyst,"Network, System & Database Admin",System Analyst
Senior Database Administrator,"Network, System & Database Admin",Database Administrator
Power Builder Insurance Industry,"Operation, Maintenance & Technical Support",IT Technical Support
Strategic Intelligence Transport W Demand,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Product Analyst Coupon Product,"Operation, Maintenance & Technical Support",IT Technical Support
Deputy Head Technical,"Operation, Maintenance & Technical Support",IT Technical Support
Vulnerability Analyst,"Network, System & Database Admin",System Analyst
Ci She Analyst Manufacture Industry,"Network, System & Database Admin",System Analyst
Functional Analyst Documentation Officer,"Operation, Maintenance & Technical Support",IT Technical Support
Technical Trainer Digital Academy Sea Labs,Other Computer & Information Technology,Information Technology Staff
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Rimender Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Datacenter Security Specialist Dc Security Apjc,Cyber Security,System Security
Android Developer Asap Banking Industry,Mobile Development,Android Developer
Android Developer Banking Industry,Mobile Development,Android Developer
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Full Stack Developer Cekpolaris,Full Stack Development,Full Stack Developer
Staff Academic,Other Computer & Information Technology,Information Technology Staff
Desk Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Driver Jnt Cargo Deltamas Cikarang Pusat,Other Computer & Information Technology,Information Technology Staff
Etl Cloud Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Front End Developer,Frontend Development,Frontend Engineer
Backend Developer,Backend Development,Backend Developer
Windows Application Developer,Software,Software Engineer
Team Lead Developer Indonesia,Software,Software Engineer
Ar Administrasi Modern Trade Modern Market,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Concierge Team Leader Park Hyatt Jakarta,Other Computer & Information Technology,Information Technology Staff
Gis Developer,Backend Development,GIS Engineer
Senior Android Developer,Mobile Development,Android Developer
Rider Driver,"Operation, Maintenance & Technical Support",IT Technical Support
Growth Demand Planning,"Operation, Maintenance & Technical Support",IT Technical Support
Kyc Analyst Apac,"Network, System & Database Admin",System Analyst
Technical Delivery Lead,Other Computer & Information Technology,Information Technology Staff
Back End Developer Unipin,Frontend Development,Frontend Engineer
Demand Planning Officer Enseval Putera Megatrading Tbk,Other Computer & Information Technology,Information Technology Staff
Asset Recovery Car Officer Branch Depok,Other Computer & Information Technology,Information Technology Staff
Senior React Native Developer,Mobile Development,React Native Developer
Credit Marketing Officer Denpasar,Other Computer & Information Technology,Information Technology Staff
Product Designer Based In Medan Topremit,Software,Software Engineer
Backend Developer,Backend Development,Backend Developer
Service Delivery,"Operation, Maintenance & Technical Support",IT Technical Support
Credit Review Analyst Akulaku Indonesia,"Network, System & Database Admin",System Analyst
Backend Developer,Backend Development,Backend Developer
Deputy Head Collection,"Operation, Maintenance & Technical Support",IT Technical Support
Desk Collection Agent Solo,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Security Engineer Cyber Defense Threat Detection,Cyber Security,Cyber Security Engineer
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Accounting Staff Modena,Other Computer & Information Technology,Information Technology Staff
Ios Developer,Mobile Development,iOS Developer
Product Designer,"Operation, Maintenance & Technical Support",IT Technical Support
Dealer Consultant Manager Tangerang,"Operation, Maintenance & Technical Support",IT Technical Support
Internal Audit Senior Analyst,"Network, System & Database Admin",System Analyst
Back End Developer Bringin Inti Teknologi,Frontend Development,Frontend Engineer
Student Advisor Denpasar Mahendradata,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Associate Deals Strategy And Operations It,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
It Security Operation Analyst,Cyber Security,System Security
Nbuw Dept,"Operation, Maintenance & Technical Support",IT Technical Support
Golang Developer,Backend Development,Golang Developer
Android Developer,Mobile Development,Android Developer
Subsea And Topside Control Engineer,"Operation, Maintenance & Technical Support",IT Technical Support
Service Delivery Agent Indonesia,"Operation, Maintenance & Technical Support",IT Technical Support
Ios Developer Mandiri International Technology,Mobile Development,iOS Developer
Devops Engineer Infrastructure Viapulsa,"Operation, Maintenance & Technical Support",Devops Engineer
Team Leader Linehaul Muara Bungo,Other Computer & Information Technology,Information Technology Staff
Bi Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Linehaul Team Leader Kendari,Other Computer & Information Technology,Information Technology Staff
President S Office Senior Officer Project,"Operation, Maintenance & Technical Support",IT Technical Support
S W Microservice Developer Junior,Software,Developer
Backend Developer Kecilin,Backend Development,Backend Developer
Web Application Developer,Software,Web Developer
Shopee Video Creator Growth,Software,Software Engineer
Student Financial Administration Staff,Other Computer & Information Technology,Information Technology Staff
Team Leader Sumatera Utara,Other Computer & Information Technology,Information Technology Staff
Web Development Lecturer Jakarta,Software,Web Developer
Asso Senior Associate Advisory Deals It Deals Strategy And Operations,"Operation, Maintenance & Technical Support",Operations & Technology Professionals
Financial Planning And Analyst Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Manager Of Devsecops Engineering,Senior Technical Position,Software Engineering Manager
Staff Desk Call,"Operation, Maintenance & Technical Support",IT Technical Support
Mobile Developer Bringin Inti Teknologi,Mobile Development,Mobile Developer
Jr Digital Marketing Strategist Toffeedev,"Operation, Maintenance & Technical Support",IT Technical Support
Backend Developer,Backend Development,Backend Developer
Senior Fp A Analyst,"Network, System & Database Admin",System Analyst
Deputy Manager External Digital Communication,"Operation, Maintenance & Technical Support",IT Technical Support
Supervisor Global Trade Compliance,Other Computer & Information Technology,Other Technical Positions
Consultant Ux Ui Designer Id,Software,Software Engineer
Faculty Qualification Academic Recognition Officer,Other Computer & Information Technology,Information Technology Staff
Product Development Associate Mama S Choice,Software,Software Engineer
Deputy Icc Category Management Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Oracle Developer Freshgraduate Metrodata Electronics Tbk,Software,Oracle Developer
Rpa Developer Freshgraduate Metrodata Electronics Tbk,Software,RPA Developer
Production Team Leader Manufacture Industry,Other Computer & Information Technology,Information Technology Staff
Team Leader Rejang Lebong Bengkulu,Other Computer & Information Technology,Information Technology Staff
Team Leader Pelalawan Riau,Other Computer & Information Technology,Information Technology Staff
Swift Developer,"Operation, Maintenance & Technical Support",IT Technical Support
Android Developer,Mobile Development,Android Developer
Front Office Team Leader Park Hyatt Jakarta,Other Computer & Information Technology,Information Technology Staff
Devsecops Manager,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Consultant Decarbonization,"Operation, Maintenance & Technical Support",IT Technical Support
Associate Global Subsidiary Banking Department,"Operation, Maintenance & Technical Support",IT Technical Support
Associate Local Corporate Banking Department,"Operation, Maintenance & Technical Support",IT Technical Support
Junior Application Development Staff,Software,Developer
Cde Yogyakarta,"Operation, Maintenance & Technical Support",IT Technical Support
Ui Ux Product Designer For Us Based Health Tech Company,Software,Software Engineer
Deloitte Digital Consulting Director Id,Software,Software Engineer
Associate Valuation Modeling Financial Advisory Services,"Operation, Maintenance & Technical Support",IT Technical Support
Deputy Head Of Department Computer Science,"Operation, Maintenance & Technical Support",IT Technical Support
Devops Engineer,"Operation, Maintenance & Technical Support",Devops Engineer
Analyst Logistics,"Network, System & Database Admin",System Analyst
It Solution Expert Otc Order To Cash,Other Computer & Information Technology,Information Technology Staff
Associate Senior Associate Advisory Deals Transaction Services,"Operation, Maintenance & Technical Support",IT Technical Support
Sr Ui Designer,Software,Software Engineer
Executive Remuneration Consultant Leader,Other Computer & Information Technology,Information Technology Staff
